tmdb_id,title,release_date,budget,runtime,tmdb_popularity,tmdb_vote_count,tmdb_vote_average,is_sequel,director_name,director_popularity,lead_actor_name,lead_actor_popularity,genres,production_studios,mpaa_rating,release_month,is_holiday_release
8915,Amelia,2009-10-22,40000000,111,50.4162,247,5.7,0,Mira Nair,1.3916,Hilary Swank,2.281,Adventure|Drama|History,AE Electra Productions|Fox Searchlight Pictures|Avalon Pictures,PG,10,0
19995,Avatar,2009-12-15,237000000,162,24.3754,32836,7.594,1,James Cameron,4.3403,Sam Worthington,4.0107,Action|Adventure|Fantasy|Science Fiction,Dune Entertainment|Lightstorm Entertainment|20th Century Fox|Ingenious Film Partners,PG-13,12,1
14836,Coraline,2009-02-05,60000000,100,18.6253,8660,7.9,0,Henry Selick,1.6349,Dakota Fanning,7.9341,Animation|Family|Fantasy,LAIKA|Pandemonium,PG,2,0
14160,Up,2009-05-28,175000000,96,16.4269,21099,7.959,0,Pete Docter,1.348,Ed Asner,1.4701,Animation|Comedy|Family|Adventure,Pixar,PG,5,0
16869,Inglourious Basterds,2009-08-02,70000000,153,15.6259,23435,8.214,0,Quentin Tarantino,3.8346,Brad Pitt,9.031,Drama|Thriller|War,Universal Pictures|The Weinstein Company|A Band Apart|Zehnte Babelsberg Film|Visiona Romantica,R,8,0
18240,The Proposal,2009-06-02,40000000,108,14.1351,7220,7.151,0,Anne Fletcher,0.6359,Sandra Bullock,7.9497,Comedy|Romance|Drama,Touchstone Pictures|Mandeville Films|Kurtzman/Orci,PG-13,6,0
18785,The Hangover,2009-06-02,35000000,100,14.1271,17625,7.328,1,Todd Phillips,0.923,Bradley Cooper,3.143,Comedy,Legendary Pictures|Green Hat Films|Warner Bros. Pictures,R,6,0
10198,The Princess and the Frog,2009-12-08,105000000,98,11.7404,5931,7.2,0,Ron Clements,0.6673,Anika Noni Rose,2.0802,Animation|Romance|Fantasy|Family,Walt Disney Animation Studios,G,12,1
28178,Hachi: A Dog's Tale,2009-06-08,16000000,93,12.7255,6973,8.011,0,Lasse Hallström,1.3838,Richard Gere,4.7385,Drama|Family,Scion Films|Stage 6 Films|Inferno Distribution|Hachiko|Grand Army Entertainment|Opperman Viner Chrystyn Entertainment,G,6,0
22832,Ninja Assassin,2009-09-29,40000000,99,10.5455,1681,6.7,0,James McTeigue,0.5862,Rain,1.546,Action|Adventure|Thriller,Legendary Pictures|Dark Castle Entertainment|Silver Pictures|Anarchos Productions|Rocklock Films|Studio Babelsberg|Warner Bros. Pictures|Hermanas Wachowski|StudioCanal,R,9,0
22794,Cloudy with a Chance of Meatballs,2009-09-17,100000000,90,10.4427,6269,6.7,1,Christopher Miller,0.59,Bill Hader,1.79,Animation|Comedy|Family,Sony Pictures Animation|Columbia Pictures,PG,9,0
13811,Knowing,2009-03-19,50000000,121,9.161,5600,6.2,0,Alex Proyas,0.9095,Nicolas Cage,6.3482,Action|Mystery|Science Fiction|Thriller,Summit Entertainment|Escape Artists|Mystery Clock Cinema|Kaplan/Perrone Entertainment|Wintergreen Productions|Goldcrest,PG-13,3,0
14161,2012,2009-10-10,200000000,158,10.9308,12404,5.863,0,Roland Emmerich,0.8237,John Cusack,2.3427,Action|Adventure|Science Fiction,Columbia Pictures|Centropolis Entertainment|Farewell Productions|The Mark Gordon Company,PG-13,10,0
19913,(500) Days of Summer,2009-07-17,7500000,95,10.9217,10690,7.297,0,Marc Webb,0.7434,Joseph Gordon-Levitt,3.7463,Comedy|Drama|Romance,Fox Searchlight Pictures|Watermark Pictures|Dune Entertainment III,PG-13,7,0
17979,A Christmas Carol,2009-11-04,200000000,96,10.848,4769,6.896,0,Robert Zemeckis,1.7739,Jim Carrey,6.4951,Animation|Family|Fantasy|Drama,Walt Disney Pictures|ImageMovers Digital,PG,11,1
7445,Brothers,2009-12-02,26000000,105,9.4971,3801,7.318,0,Jim Sheridan,0.6372,Tobey Maguire,4.2016,Drama|Thriller|War,Lionsgate|Relativity Media|Sighvatsson Films|Michael De Luca Productions|Palomar Pictures|Mandate International,R,12,1
16577,Astro Boy,2009-10-15,10000000,94,8.5081,1595,6.322,0,David Bowers,0.2114,Freddie Highmore,3.606,Animation|Action|Family|Science Fiction,Summit Entertainment|Imagi Animation Studios|Tezuka Productions,PG,10,0
19265,Whatever Works,2009-06-19,15000000,92,9.222,1800,7.079,0,Woody Allen,1.2222,Larry David,0.7924,Comedy|Romance,Wild Bunch|Gravier Productions|Perdido Productions,PG-13,6,0
36691,Solitary Man,2009-09-07,15000000,90,8.5387,337,5.9,0,Brian Koppelman,0.554,Michael Douglas,3.7231,Comedy|Drama|Romance,Paul Schiff Productions|Smartest Man Productions|Millennium Media,R,9,0
4959,The International,2009-02-03,50000000,118,8.5966,1348,6.252,0,Tom Tykwer,0.7627,Clive Owen,2.9839,Action|Thriller|Crime|Adventure|Mystery,Studio Babelsberg|Atlas Entertainment|Mosaic Media Group|X Filme Creative Pool|Columbia Pictures,R,2,0
13448,Angels & Demons,2009-04-20,150000000,139,8.9505,7124,6.716,1,Ron Howard,2.9724,Tom Hanks,14.407,Thriller|Mystery,Columbia Pictures|Imagine Entertainment|Skylark Productions|Panorama Films|Brian Grazer Productions,PG-13,4,0
18239,The Twilight Saga: New Moon,2009-11-18,50000000,131,8.2032,9545,5.995,1,Chris Weitz,0.5979,Kristen Stewart,6.9117,Adventure|Fantasy|Drama|Romance,Summit Entertainment|Temple Hill Entertainment|Maverick Films|Imprint Entertainment|Sunswept Entertainment,PG-13,11,1
17654,District 9,2009-08-05,30000000,112,8.0496,9990,7.455,0,Neill Blomkamp,0.5274,Sharlto Copley,2.0236,Science Fiction,TriStar Pictures|Block / Hanson|WingNut Films|District 9,R,8,0
21208,Orphan,2009-07-24,20000000,122,8.7838,5481,6.997,1,Jaume Collet-Serra,0.7757,Vera Farmiga,6.1041,Horror|Thriller,Dark Castle Entertainment|Appian Way,R,7,0
36686,The Tomb,2009-11-05,8800000,89,7.1393,52,4.183,0,Michael Staininger,0.0168,Wes Bentley,2.2596,Horror,Jeff Most Productions|Lamplight Films|Poe Vision|Yalta Film Studio,R,11,1
8355,Ice Age: Dawn of the Dinosaurs,2009-06-26,90000000,94,7.8469,8660,6.8,1,Carlos Saldanha,0.3712,Ray Romano,1.7068,Animation|Comedy|Family|Adventure,Blue Sky Studios|20th Century Fox Animation|20th Century Fox,PG,6,0
16763,Joy Ride 2: Dead Ahead,2009-01-23,5000000,91,7.6442,261,5.519,1,Louis Morneau,0.2441,Nicki Aycox,1.8767,Crime|Thriller|Horror,JR Canada Productions,NR,1,0
26583,The Keeper,2009-10-03,10000000,94,7.8063,114,5.039,0,Keoni Waxman,0.3217,Steven Seagal,3.1614,Action|Thriller,Steamroller Productions|Voltage Pictures,R,10,0
24420,The Time Traveler's Wife,2009-08-14,39000000,107,5.5299,2611,6.937,0,Robert Schwentke,0.7224,Eric Bana,3.4119,Drama|Romance|Fantasy,New Line Cinema|Plan B Entertainment|Nick Wechsler Productions,PG-13,8,0
21033,Beautiful,2009-08-28,1500000,97,7.7817,51,4.784,0,Dean O'Flaherty,0.0958,Tahyna MacManus,0.8885,Drama|Mystery|Thriller,Kojo Pictures,R,8,0
19994,Jennifer's Body,2009-09-18,16000000,107,7.338,4081,6.0,0,Karyn Kusama,0.9013,Megan Fox,7.3324,Horror|Comedy,Fox Atomic|Dubiecki/Novick/Reitman Productions|Dune Entertainment,R,9,0
15512,Monsters vs Aliens,2009-03-19,175000000,94,7.1934,4832,6.2,0,Rob Letterman,0.4577,Reese Witherspoon,3.5603,Animation|Family|Adventure|Science Fiction,DreamWorks Animation,PG,3,0
19959,Surrogates,2009-09-24,80000000,89,7.3123,3317,6.137,0,Jonathan Mostow,0.4046,Bruce Willis,4.9534,Science Fiction|Action|Thriller,Wintergreen Productions|Touchstone Pictures|Mandeville Films|Top Shelf Productions,PG-13,9,0
37721,Accidents Happen,2009-04-23,6000000,92,7.2764,81,5.9,0,Andrew Lancaster,0.1528,Geena Davis,2.4697,Comedy|Drama,Red Carpet Productions,R,4,0
13183,Watchmen,2009-03-04,130000000,163,7.0221,9661,7.347,0,Zack Snyder,5.3725,Malin Åkerman,5.3916,Mystery|Action|Science Fiction,Warner Bros. Pictures|Paramount Pictures|Legendary Pictures|DC|Lawrence Gordon Productions|Lloyd Levin Productions,R,3,0
23988,Stan Helsing,2009-10-23,365000,90,7.3235,494,4.2,0,Bo Zenga,0.1094,Steve Howey,2.2866,Comedy,Insight Film Studios,R,10,0
26320,Taking Woodstock,2009-08-26,30000000,120,6.7523,461,6.2,0,Ang Lee,1.4533,Demetri Martin,0.4844,Music|Comedy|Drama,Focus Features|Ang Lee Productions,R,8,0
534,Terminator Salvation,2009-05-20,200000000,115,7.7066,6799,6.073,1,McG,0.7213,Christian Bale,6.5434,Action|Science Fiction|Thriller,The Halcyon Company|Moritz Borman Productions|Wonderland Sound and Vision|Mandate International|T Asset Acquisition Company,PG-13,5,0
32985,Solomon Kane,2009-12-23,45000000,104,7.7266,1478,6.035,0,MJ Bassett,0.8165,James Purefoy,1.9308,Adventure|Fantasy|Action,Davis Films|Czech Anglo Pictures|Wandering Star Pictures|Essential Entertainment,R,12,1
16871,Drag Me to Hell,2009-05-27,30000000,99,7.0681,3921,6.456,0,Sam Raimi,1.8116,Alison Lohman,1.4707,Horror|Thriller,Universal Pictures|Ghost House Pictures|Buckaroo Entertainment|Curse Productions|Mandate Pictures,PG-13,5,0
26123,American Pie Presents: The Book of Love,2009-12-02,8000000,93,7.4555,1788,5.3,1,John Putch,0.3507,Bug Hall,1.3784,Comedy,Capital Arts Entertainment,R,12,1
16335,Walled In,2009-02-20,10000000,92,6.8328,193,4.8,0,Gilles Paquet-Brenner,0.2188,Mischa Barton,1.6016,Horror|Thriller,experiences films|Forecast Pictures|Leomax Productions|Minds Eye Entertainment,R,2,0
13788,The Unborn,2009-01-09,16000000,87,6.5497,1399,5.2,0,David S. Goyer,0.632,Odette Annable,4.39,Horror|Thriller|Mystery,Rogue Pictures|Platinum Dunes|Phantom Four|Relativity Media|Focus Features|Universal Pictures,PG-13,1,0
28355,Case 39,2009-08-13,27000000,109,7.2207,2324,6.318,0,Christian Alvart,0.3243,Renée Zellweger,3.2988,Horror|Mystery|Thriller,Paramount Vantage|Misher Films|Anonymous Content|Case 39 Productions|Paramount Pictures,R,8,0
23823,Wrong Turn 3: Left for Dead,2009-10-08,3000000,91,5.9765,1228,5.7,1,Declan O'Brien,0.2312,Tom Frederic,0.5803,Horror|Thriller,Constantin Film|Summit Entertainment|BUFO,NR,10,0
21407,The Collector,2009-07-09,3400000,90,6.9538,1586,6.611,1,Marcus Dunstan,0.6507,Josh Stewart,1.6261,Horror|Thriller,Imaginarium Entertainment Group|Fortress Features|LD Entertainment,R,7,0
31896,Finding Bliss,2009-01-18,1500000,96,7.1123,71,4.725,0,Julie Davis,0.4761,Leelee Sobieski,3.0351,Comedy,North by Northwest Entertainment|Cinamour Entertainment|Dave O Films|Jeff Rice Films|LightShow Entertainment,NR,1,0
22803,Law Abiding Citizen,2009-10-15,53000000,109,6.0301,5468,7.386,0,F. Gary Gray,0.577,Jamie Foxx,3.0171,Drama|Crime|Thriller,The Film Department|Evil Twins|Warp Films|G-BASE,R,10,0
18126,Hannah Montana: The Movie,2009-04-10,35000000,102,6.9973,2063,6.572,0,Peter Chelsom,0.206,Miley Cyrus,1.8464,Comedy|Drama|Family|Music|Romance,It's a Laugh Productions|Millar Gough Ink|Walt Disney Pictures,G,4,0
22881,The Blind Side,2009-11-20,29000000,129,6.5586,6653,7.673,0,John Lee Hancock,0.5985,Sandra Bullock,7.9497,Drama,Alcon Entertainment|Netter Productions,PG-13,11,1
25793,Precious,2009-11-06,10000000,110,6.3134,1709,7.32,0,Lee Daniels,0.3974,Gabourey Sidibe,0.9715,Drama,Smokewood Entertainment Group|Lee Daniels Entertainment,R,11,1
10521,Bride Wars,2009-01-09,30000000,89,5.3998,3132,6.3,0,Gary Winick,0.6696,Kate Hudson,4.3898,Comedy|Romance,Fox 2000 Pictures|Regency Enterprises|New Regency Pictures|Birdie Productions|Dune Entertainment|Dune Entertainment III|20th Century Fox,PG,1,0
12569,Extract,2009-09-03,8000000,92,6.9144,650,5.825,0,Mike Judge,2.1584,Jason Bateman,6.0826,Comedy,Miramax,R,9,0
30289,MegaFault,2009-10-10,1200000,90,5.7769,81,5.2,0,David Michael Latt,0.206,Brittany Murphy,3.2247,TV Movie|Action|Adventure|Science Fiction,The Asylum,PG-13,10,0
19139,Goal III: Taking on the World,2009-06-22,10000000,91,6.6538,213,3.974,1,Andrew Morahan,0.1601,JJ Feild,1.5729,Drama,Impala|Milkshake Films|Lawrence Bender Productions|Scion Films,NR,6,0
15092,Crank: High Voltage,2009-04-16,20000000,96,6.6789,3031,6.076,1,Mark Neveldine,0.378,Jason Statham,18.2824,Action|Thriller|Crime,Lionsgate|Lakeshore Entertainment|RadicalMedia,R,4,0
24505,Necromentia,2009-10-01,300000,85,6.5394,78,4.981,0,Pearry Reginald Teo,0.3387,Layton Matthews,0.0853,Horror,Compound B|Eslinger Joyce Entertainment,NR,10,0
22175,The Shortcut,2009-02-07,5000000,100,6.2541,138,4.6,0,Nicholaus Goossen,0.095,Drew Seeley,1.0038,Mystery|Horror|Thriller,Minds Eye Entertainment|Scary Madison Productions,R,2,0
24804,Black Dynamite,2009-10-16,2900000,85,6.265,671,7.102,0,Scott Sanders,0.3751,Michael Jai White,5.316,Comedy|Action,Six Point Harness|Destination Films|Goliath Entertainment|Ars Nova,R,10,0
10315,Fantastic Mr. Fox,2009-10-14,40000000,87,6.5444,5840,7.8,0,Wes Anderson,2.2128,George Clooney,5.2692,Adventure|Animation|Comedy|Family,Regency Enterprises|Indian Paintbrush|American Empirical Pictures,PG,10,0
19908,Zombieland,2009-10-02,23600000,87,6.5221,12791,7.259,1,Ruben Fleischer,1.0433,Jesse Eisenberg,4.9929,Comedy|Horror,Columbia Pictures|Relativity Media|Pariah,R,10,0
7980,The Lovely Bones,2009-12-26,65000000,136,6.8028,4822,7.064,0,Peter Jackson,2.4778,Saoirse Ronan,3.3042,Fantasy|Drama,WingNut Films|DreamWorks Pictures|Film4 Productions,PG-13,12,1
25602,Ninja,2009-10-22,10000000,83,6.0058,391,6.129,1,Isaac Florentine,0.4991,Scott Adkins,5.6607,Action|Crime|Drama|Thriller,Nu Image|Millennium Media,R,10,0
25642,Ben 10 : Alien Swarm,2009-11-15,40000000,67,6.2419,361,6.1,1,Alex Winter,3.2689,Ryan Kelley,1.242,Adventure|Action|TV Movie|Science Fiction,Cartoon Network Studios|Trouper|Man of Action Entertainment,PG,11,1
12244,9,2009-08-19,30000000,79,6.4603,3749,6.9,0,Shane Acker,0.1633,Elijah Wood,3.374,Action|Adventure|Animation|Science Fiction|Thriller,Tim Burton Productions|Relativity Media|Arc Productions|Starz Animation|Focus Features,PG-13,8,0
13475,Star Trek,2009-05-06,150000000,127,6.3001,10215,7.426,1,J.J. Abrams,1.4739,Chris Pine,3.2276,Science Fiction|Action|Adventure,Paramount Pictures|Spyglass Entertainment|Bad Robot,PG-13,5,0
22556,The Yellow Handkerchief,2009-11-19,15000000,102,5.6272,156,6.3,0,Udayan Prasad,0.3252,Maria Bello,4.0358,Drama|Romance,area japan,PG-13,11,1
22787,Whiteout,2009-09-09,40000000,101,6.6061,807,5.6,0,Dominic Sena,0.2801,Kate Beckinsale,10.0026,Action|Crime|Mystery|Thriller,Dark Castle Entertainment|Warner Bros. Pictures,R,9,0
16996,17 Again,2009-03-11,20000000,102,6.3613,5303,6.312,0,Burr Steers,0.7344,Zac Efron,7.3795,Comedy|Fantasy|Drama|Romance,New Line Cinema|Offspring Entertainment,PG-13,3,0
17927,Fired Up!,2009-02-20,20000000,91,6.8534,675,6.1,0,Will Gluck,0.5104,Nicholas D'Agosto,1.1944,Comedy,"Weinstock Productions|Screen Gems|Moving Pictures, DPI|Gross Entertainment|Olive Bridge Entertainment",PG-13,2,0
